intersectional_group,gender,race,age_group,n_samples,n_positives,n_negatives,selection_rate,spd,dir,eod,aod,fpr_diff,fnr_diff,spd_fair,dir_fair,eod_fair,eod_reliable,fpr_reliable,note
Male_White_Middle-aged (30-50),Male,White,Middle-aged (30-50),4511,1792,2719,0.3223232099312791,0.0,1.0,0.0,0.0,0.0,0.0,True,True,True,True,True,privileged_baseline
Male_White_Young (<30),Male,White,Young (<30),2054,149,1905,0.053554040895813046,-0.26876916903546605,0.16615012275172808,-0.25757655201342283,-0.17910899952421583,-0.10064144703500881,0.2575765520134228,False,False,False,True,True,
Male_White_Senior (>50),Male,White,Senior (>50),1736,738,998,0.40034562211981567,0.07802241218853656,1.242062655696347,0.06287051151761514,0.06435029510561446,0.06583007869361379,-0.06287051151761514,True,True,True,True,True,
Female_White_Middle-aged (30-50),Female,White,Middle-aged (30-50),1621,302,1319,0.11412708204811844,-0.20819612788316066,0.35407652484117075,-0.15301634933774833,-0.12435207549202051,-0.0956878016462927,0.15301634933774833,False,False,False,True,True,
Female_White_Young (<30),Female,White,Young (<30),1406,53,1353,0.02844950213371266,-0.29387370779756644,0.08826389554688982,-0.21705483490566035,-0.16678733704089227,-0.11651983917612421,0.21705483490566035,False,False,False,True,True,
Female_White_Senior (>50),Female,White,Senior (>50),653,79,574,0.09494640122511486,-0.22737680870616425,0.29456892429607506,-0.05631922468354433,-0.07776152327182562,-0.0992038218601069,0.05631922468354433,False,False,True,True,True,
Male_Black_Middle-aged (30-50),Male,Black,Middle-aged (30-50),334,83,251,0.15568862275449102,-0.16663458717678808,0.4830202044329498,-0.11930534638554219,-0.10302167603392579,-0.08673800568230937,0.11930534638554224,False,False,False,True,True,
Female_Black_Middle-aged (30-50),Female,Black,Middle-aged (30-50),327,28,299,0.03669724770642202,-0.2856259622248571,0.11385232765039184,-0.22042410714285715,-0.17382116620751725,-0.12721822527217733,0.2204241071428572,False,False,False,True,True,
Male_Black_Young (<30),Male,Black,Young (<30),207,8,199,0.024154589371980676,-0.29816862055929844,0.07493903208872409,-0.23828125,-0.17939685281062354,-0.12051245562124709,0.23828125,False,False,False,False,True,
Female_Black_Young (<30),Female,Black,Young (<30),197,3,194,0.025380710659898477,-0.2969424992713806,0.0787430438698776,0.38671875,0.13323266073649348,-0.12025342852701303,-0.38671875,False,False,False,False,True,
Male_Asian-Pac-Islander_Middle-aged (30-50),Male,Asian-Pac-Islander,Middle-aged (30-50),154,61,93,0.34415584415584416,0.02183263422456505,1.0677352221368728,0.09163678278688525,0.03430047881489343,-0.023035825157098386,-0.09163678278688525,True,True,True,True,True,
Male_Black_Senior (>50),Male,Black,Senior (>50),114,27,87,0.2631578947368421,-0.05916531519443702,0.8164410338087308,0.05338541666666663,0.030376872135948377,0.007368327605230124,-0.05338541666666663,True,True,True,True,True,
Female_Black_Senior (>50),Female,Black,Senior (>50),100,6,94,0.05,-0.2723232099312791,0.15512379642365887,0.05338541666666663,-0.03326949616926072,-0.11992440900518807,-0.05338541666666663,False,False,True,False,True,
Male_Asian-Pac-Islander_Young (<30),Male,Asian-Pac-Islander,Young (<30),83,4,79,0.03614457831325301,-0.2861786316180261,0.1121376841616811,-0.11328125,-0.11559286451471362,-0.11790447902942723,0.11328125,False,False,False,False,True,
